Section,Parameter,Message Type,Control Number,Range,Default,Notes,,,,,,
Mod Matrix,mod matrix 8 source 1,NRPN,1:118,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 8 source 2,NRPN,1:119,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 8 depth,NRPN,1:121,0:127 (-64:63),64,(0),,,,,,
Mod Matrix,mod matrix 8 destination,NRPN,1:122,0:17,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 9 source 1,NRPN,1:123,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 9 source 2,NRPN,1:124,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 9 depth,NRPN,1:126,0:127 (-64:63),64,(0),,,,,,
Mod Matrix,mod matrix 9 destination,NRPN,1:127,0:17,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 10 source 1,NRPN,2:0,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 10 source 2,NRPN,2:1,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 10 depth,NRPN,2:3,0:127 (-64:63),64,(0),,,,,,
Mod Matrix,mod matrix 10 destination,NRPN,2:4,0:17,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 11 source 1,NRPN,2:5,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 11 source 2,NRPN,2:6,0:12,0,See Mod Matrix Table,,,,,,
Mod Matrix,mod matrix 11 depth,NRPN,2:8,0:127 (-64:63),64,(0),,,,,,
Macro,macro knob 3 depth A,NRPN,3:35,0:127 (-64:63),64,(0),,,,,,
Macro,macro knob 3 destination B,NRPN,3:36,0:70,0,,,,,,,
Macro,macro knob 3 start position B,NRPN,3:37,0:127,0,,,,,,,
Macro,macro knob 3 end position B,NRPN,3:38,0:127,127,,,,,,,
Macro,macro knob 3 depth B,NRPN,3:39,0:127 (-64:63),64,(0),,,,,,
Macro,macro knob 3 destination C,NRPN,3:40,0:70,0,,,,,,,
Macro,macro knob 3 start position C,NRPN,3:41,0:127,0,,,,,,,
Macro,macro knob 3 end position C,NRPN,3:42,0:127,127,,,,,,,
Macro,macro knob 3 depth C,NRPN,3:43,0:127 (-64:63),64,(0),,,,,,
Macro,macro knob 3 destination D,NRPN,3:44,0:70,0,,,,,,,
Macro,macro knob 3 start position D,NRPN,3:45,0:127,0,,,,,,,
Macro,macro knob 3 end position D,NRPN,3:46,0:127,127,,,,,,,
Macro,macro knob 3 depth D,NRPN,3:47,0:127 (-64:63),64,(0),,,,,,
Macro,macro knob 4 position,CC,83,0:127,0,,,,,,,
Macro,macro knob 4 destination A,NRPN,3:48,0:70,0,,,,,,,
Macro,macro knob 4 start position A,NRPN,3:49,0:127,0,,,,,,,
Macro,macro knob 4 end position A,NRPN,3:50,0:127,127,,,,,,,
Macro,macro knob 4 depth A,NRPN,3:51,0:127 (-64:63),64,(0),,,,,,
Macro,macro knob 4 destination B,NRPN,3:52,0:70,0,,,,,,,
Macro,macro knob 4 start position B,NRPN,3:53,0:127,0,,,,,,,
Macro,macro knob 4 end position B,NRPN,3:54,0:127,127,,,,,,,
Macro,macro knob 4 depth B,NRPN,3:55,0:127 (-64:63),64,(0),,,,,,
Macro,macro knob 4 destination C,NRPN,3:56,0:70,0,,,,,,,
Macro,macro knob 4 start position C,NRPN,3:57,0:127,0,,,,,,,
Macro,macro knob 4 end position C,NRPN,3:58,0:127,127,,,,,,,
Macro,macro knob 4 depth C,NRPN,3:59,0:127 (-64:63),64,(0),,,,,,
Macro,macro knob 4 destination D,NRPN,3:60,0:70,0,,,,,,,
Macro,macro knob 4 start position D,NRPN,3:61,0:127,0,,,,,,,
Macro,macro knob 4 end position D,NRPN,3:62,0:127,127,,,,,,,
Macro,macro knob 4 depth D,NRPN,3:63,0:127 (-64:63),64,(0),,,,,,
Macro,macro knob 5 position,CC,84,0:127,0,,,,,,,
Macro,macro knob 5 destination A,NRPN,3:64,0:70,0,,,,,,,
Macro,macro knob 5 start position A,NRPN,3:65,0:127,0,,,,,,,
Macro,macro knob 5 end position A,NRPN,3:66,0:127,127,,,,,,,
Macro,macro knob 5 depth A,NRPN,3:67,0:127 (-64:63),64,(0),,,,,,
Macro,macro knob 5 destination B,NRPN,3:68,0:70,0,,,,,,,
Macro,macro knob 5 start position B,NRPN,3:69,0:127,0,,,,,,,
Macro,macro knob 5 end position B,NRPN,3:70,0:127,127,,,,,,,
Macro,macro knob 5 depth B,NRPN,3:71,0:127 (-64:63),64,(0),,,,,,
Macro,macro knob 5 destination C,NRPN,3:72,0:70,0,,,,,,,
Macro,macro knob 5 start position C,NRPN,3:73,0:127,0,,,,,,,
Macro,macro knob 5 end position C,NRPN,3:74,0:127,127,,,,,,,
Macro,macro knob 5 depth C,NRPN,3:75,0:127 (-64:63),64,(0),,,,,,
Macro,macro knob 5 destination D,NRPN,3:76,0:70,0,,,,,,,
Macro,macro knob 5 start position D,NRPN,3:77,0:127,0,,,,,,,
Macro,macro knob 5 end position D,NRPN,3:78,0:127,127,,,,,,,
Macro,macro knob 5 depth D,NRPN,3:79,0:127 (-64:63),64,(0),,,,,,
Macro,macro knob 6 position,CC,85,0:127,0,,,,,,,
Macro,macro knob 6 destination A,NRPN,3:80,0:70,0,,,,,,,
Macro,macro knob 6 start position A,NRPN,3:81,0:127,0,,,,,,,
Macro,macro knob 6 end position A,NRPN,3:82,0:127,127,,,,,,,
Macro,macro knob 6 depth A,NRPN,3:83,0:127 (-64:63),64,(0),,,,,,
Macro,macro knob 6 destination B,NRPN,3:84,0:70,0,,,,,,,
Macro,macro knob 6 start position B,NRPN,3:85,0:127,0,,,,,,,
Macro,macro knob 6 end position B,NRPN,3:86,0:127,127,,,,,,,
Macro,macro knob 6 depth B,NRPN,3:87,0:127 (-64:63),64,(0),,,,,,
Macro,macro knob 6 destination C,NRPN,3:88,0:70,0,,,,,,,
Macro,macro knob 6 start position C,NRPN,3:89,0:127,0,,,,,,,
Macro,macro knob 6 end position C,NRPN,3:90,0:127,127,,,,,,,
Macro,macro knob 6 depth C,NRPN,3:91,0:127 (-64:63),64,(0),,,,,,
Macro,macro knob 6 destination D,NRPN,3:92,0:70,0,,,,,,,
Macro,macro knob 6 start position D,NRPN,3:93,0:127,0,,,,,,,
Macro,macro knob 6 end position D,NRPN,3:94,0:127,127,,,,,,,
Macro,macro knob 6 depth D,NRPN,3:95,0:127 (-64:63),64,(0),,,,,,
Macro,macro knob 7 position,CC,86,0:127,0,,,,,,,
Macro,macro knob 7 destination A,NRPN,3:96,0:70,0,,,,,,,
Macro,macro knob 7 start position A,NRPN,3:97,0:127,0,,,,,,,
